0.00000, 0.00000, 0.00787, 0.00371, 0.01575, 0.00959, 0.02362, 0.01712, 0.03150, 0.02606,
0.03937, 0.03603, 0.04724, 0.04693, 0.05512, 0.05869, 0.06299, 0.07129, 0.07087, 0.08460,
0.07874, 0.09835, 0.08661, 0.11247, 0.09449, 0.12681, 0.10236, 0.14133, 0.11024, 0.15596,
0.11811, 0.17063, 0.12598, 0.18528, 0.13386, 0.19990, 0.14173, 0.21448, 0.14961, 0.22910,
0.15748, 0.24379, 0.16535, 0.25852, 0.17323, 0.27328, 0.18110, 0.28805, 0.18898, 0.30285,
0.19685, 0.31765, 0.20472, 0.33242, 0.21260, 0.34714, 0.22047, 0.36167, 0.22835, 0.37604,
0.23622, 0.39025, 0.24409, 0.40428, 0.25197, 0.41815, 0.25984, 0.43177, 0.26772, 0.44515,
0.27559, 0.45831, 0.28346, 0.47121, 0.29134, 0.48387, 0.29921, 0.49631, 0.30709, 0.50851,
0.31496, 0.52048, 0.32283, 0.53223, 0.33071, 0.54377, 0.33858, 0.55507, 0.34646, 0.56618,
0.35433, 0.57707, 0.36220, 0.58775, 0.37008, 0.59823, 0.37795, 0.60852, 0.38583, 0.61860,
0.39370, 0.62850, 0.40157, 0.63820, 0.40945, 0.64774, 0.41732, 0.65708, 0.42520, 0.66624,
0.43307, 0.67523, 0.44094, 0.68405, 0.44882, 0.69268, 0.45669, 0.70115, 0.46457, 0.70948,
0.47244, 0.71761, 0.48031, 0.72561, 0.48819, 0.73346, 0.49606, 0.74114, 0.50394, 0.74865,
0.51181, 0.75605, 0.51969, 0.76326, 0.52756, 0.77034, 0.53543, 0.77729, 0.54331, 0.78410,
0.55118, 0.79078, 0.55906, 0.79729, 0.56693, 0.80371, 0.57480, 0.80997, 0.58268, 0.81611,
0.59055, 0.82213, 0.59843, 0.82800, 0.60630, 0.83377, 0.61417, 0.83940, 0.62205, 0.84491,
0.62992, 0.85031, 0.63780, 0.85560, 0.64567, 0.86075, 0.65354, 0.86582, 0.66142, 0.87076,
0.66929, 0.87560, 0.67717, 0.88035, 0.68504, 0.88497, 0.69291, 0.88947, 0.70079, 0.89389,
0.70866, 0.89821, 0.71654, 0.90242, 0.72441, 0.90656, 0.73228, 0.91055, 0.74016, 0.91449,
0.74803, 0.91832, 0.75591, 0.92207, 0.76378, 0.92571, 0.77165, 0.92927, 0.77953, 0.93276,
0.78740, 0.93616, 0.79528, 0.93947, 0.80315, 0.94268, 0.81102, 0.94580, 0.81890, 0.94886,
0.82677, 0.95186, 0.83465, 0.95476, 0.84252, 0.95760, 0.85039, 0.96034, 0.85827, 0.96300,
0.86614, 0.96563, 0.87402, 0.96816, 0.88189, 0.97061, 0.88976, 0.97302, 0.89764, 0.97537,
0.90551, 0.97762, 0.91339, 0.97981, 0.92126, 0.98193, 0.92913, 0.98401, 0.93701, 0.98603,
0.94488, 0.98796, 0.95276, 0.98987, 0.96063, 0.99169, 0.96850, 0.99349, 0.97638, 0.99517,
0.98425, 0.99686, 0.99213, 0.99845, 1.00000, 1.00000
